cancer	standard_drug_name	hpo_term	go_term	2019_None
breast_cancer	PALBOCICLIB	HP:0001511	GO:0042802	1196000000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0042803	292535000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0045892	171368000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0045893	386382000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0045944	583146000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0051219	235968000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0005515	35045100000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0005615	127323000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0005634	5772550000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0005654	3137200000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0005730	303963000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0005737	2858540000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0005739	400917000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0005783	187456000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0005794	269016000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0005813	255421000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0005829	4069480000.0
breast_cancer	PALBOCICLIB	HP:0001511	GO:0005886	1269120000.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0019899	106677000.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0042802	372402000.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0042803	91677000.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0045893	136454000.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0045944	191558000.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0005515	11860100000.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0005634	1837390000.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0005654	970756000.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0005730	90767100.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0005737	851314000.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0005739	112690000.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0005829	1242910000.0
breast_cancer	PALBOCICLIB	HP:0001537	GO:0005886	397725000.0
breast_cancer	PALBOCICLIB	HP:0001737	GO:0005515	198827000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0140030	157669000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0019899	232980000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0019904	198394000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0030674	161281000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0042393	161095000.0
breast_cancer	PALBOCICLIB	HP:0001744	GO:0042802	607731000.0
